split,Method,restart_probability_c,temperature,runtime_seconds,MAE,RMSE,Rating_Rows,Missing_Predictions,Fallback_Predictions,Cold_User_Rows,Cold_Item_Rows,Ranking_Eligible_Users,Precision@5,Recall@5,NDCG@5,HitRate@5,Precision@10,Recall@10,NDCG@10,HitRate@10,degenerate_minmax_users_all,degenerate_minmax_users_evaluated,rating_rows_using_degenerate_3,shared_evaluator_fallback_rows,mean_iterations,max_iterations,unconverged_users
validation,RWR_Linear,0.4,,1.9037848506122828,2.087905458981968,2.4744411976517617,600.0,0.0,0.0,0.0,0.0,170.0,0.20117647058823532,0.8372549019607842,0.6236707802975988,0.8823529411764706,0.11117647058823528,0.9137254901960783,0.6506525971932484,0.9352941176470588,0,0,0,0,33.0,33,0
validation,RWR_Linear,0.5,,1.832110222429037,2.097397368787722,2.4834076450183455,600.0,0.0,0.0,0.0,0.0,170.0,0.20588235294117646,0.8578431372549018,0.6384865032341103,0.9,0.11117647058823528,0.9137254901960783,0.6585140358101919,0.9352941176470588,0,0,0,0,24.008695652173913,25,0
validation,RWR_Linear,0.6,,1.7970211151987314,2.1057909910131443,2.4916042025670344,600.0,0.0,0.0,0.0,0.0,170.0,0.2070588235294118,0.8598039215686274,0.6358758683474405,0.9,0.11117647058823528,0.9137254901960783,0.6549845511529633,0.9352941176470588,0,0,0,0,18.991304347826087,19,0
validation,RWR_Linear,0.7,,1.7392678279429674,2.1139970911335713,2.4993953196428556,600.0,0.0,0.0,0.0,0.0,170.0,0.2070588235294118,0.8598039215686274,0.6389751060521658,0.9,0.11176470588235295,0.9166666666666665,0.6591263728975947,0.9352941176470588,0,0,0,0,14.0,14,0
validation,RWR_Softmax,0.1,0.3,3.141963202506304,1.9878003982243866,2.3768473186575583,600.0,0.0,0.0,0.0,0.0,170.0,0.15294117647058825,0.6411764705882353,0.4509582027889756,0.6941176470588235,0.10176470588235292,0.8519607843137254,0.5238879375574519,0.8941176470588236,0,0,0,0,159.0,159,0
validation,RWR_Softmax,0.2,0.3,2.340779623016715,1.9839448651056497,2.369667778401225,600.0,0.0,0.0,0.0,0.0,170.0,0.15647058823529414,0.6431372549019607,0.47927920976545024,0.7,0.10294117647058823,0.8578431372549018,0.5506782179384554,0.8941176470588236,0,0,0,0,75.0,75,0
validation,RWR_Softmax,0.3,0.3,2.079356137663126,1.9749272974291094,2.3595998906592297,600.0,0.0,0.0,0.0,0.0,170.0,0.15764705882352942,0.6480392156862744,0.47902491905095057,0.7058823529411765,0.09941176470588234,0.8147058823529412,0.5375967140038607,0.8529411764705882,0,0,0,0,47.0,47,0
validation,RWR_Softmax,0.35,0.3,1.976598173379898,1.9697780585286642,2.3542930267604523,600.0,0.0,0.0,0.0,0.0,170.0,0.15882352941176472,0.6509803921568627,0.4804846454138594,0.7058823529411765,0.1,0.8166666666666665,0.5380210141279818,0.8529411764705882,0,0,0,0,39.0,39,0
validation,RWR_Softmax,0.4,0.3,1.9285730831325054,1.9642575740803272,2.3487397376780375,600.0,0.0,0.0,0.0,0.0,170.0,0.15882352941176472,0.6509803921568627,0.47971283907515844,0.7058823529411765,0.10058823529411766,0.822549019607843,0.538315975773928,0.8588235294117647,0,0,0,0,33.0,33,0
validation,RWR_Softmax,0.5,0.3,1.9555985406041145,1.951792709791387,2.336726339657784,600.0,0.0,0.0,0.0,0.0,170.0,0.1552941176470588,0.6362745098039215,0.47110729919125854,0.6941176470588235,0.10176470588235295,0.8274509803921568,0.5360175160741958,0.8588235294117647,0,0,0,0,25.0,25,0
