Method,MAE
User_Rating,0.9425984555984557
User_Content,1.03241445118588
User_Hybrid,0.9506027027027028
Item_Rating,0.968607887479316
Item_Content,0.9834444567015995
Item_Hybrid,0.9721506894649752
