Real_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
40B0292,0.002151002,-0.008629969,-0.006179367,-0.001457133,0.0050268956,-0.007195558,-0.003357811,0.008635543,-0.0033230647,-0.0027989328,-0.0004532605,-0.0049425694,0.0016958334,0.0070509994,0.0020162626,-0.0020453718,-0.0029673714,0.0013859668,0.0060467822,-0.0019440074,0.0050703585,-0.0027238056,-0.0029756133,-0.00073981564,0.00097223534,-0.002852545,-0.0072948737,-0.0011214011,0.0030828156,-0.0032932675,0.008625709,8.244562e-05,0.002307522,0.002325354,0.0010359695,0.0012556565,0.0036529738,0.004929533,0.0019704476,-0.007822839,-0.0008275035,-0.0031335207,0.0015511613,0.0031122605,-0.0068144263,0.0035200603,0.0012832528,0.0012308904,0.0069600083,-0.0014356872,0.001979586,-0.0031927265,0.0024625165,-0.0051390384,0.0057930136,0.0041324967,0.0026019341,0.0038534813,0.0051669236,0.0028885128,-0.001985581,0.0018432376,0.004320428,0.0006752454,-0.0034685875,0.0077587506,0.0057842117,0.0042215465,0.0008244823,-0.0005055475,0.0011497091,-0.0027065896,0.007353008,0.0035102018,0.008447334,0.0004682782,-0.0030968569,0.004719351,-0.009366114,3.8545346e-05,-0.0014090294,0.0015071263,0.0019162176,0.00731139,0.00671875,0.0013970395,-0.0039713015,-0.0036095744,0.0009464213,-0.0042505665,-0.0010181786,0.0006670868,0.007275371,0.0078117857,0.0003124416,-0.001413426,-0.0009520033,-0.0059783594,-0.0012824129,0.0023608082
40BA012,-0.0027005181,0.0009968362,-0.0038025756,-0.000818995,-0.0015105994,-0.0036367725,0.0021139001,0.004673557,-0.0038507022,-0.0030092984,-0.00362149,-0.0011355021,-0.0028194436,-0.0019533231,0.00032558554,-0.0008665826,-0.0030512759,-0.0006262052,0.004291379,-0.0011694412,0.0012169045,-0.002677029,0.0025493267,0.0013754141,-0.0035881896,0.002270929,-0.0030229017,-0.0011638434,-0.0030542216,0.0023261337,0.00465698,-0.0011443987,-0.0006522251,-0.0007652971,0.0010384971,0.0008857322,9.80068e-06,0.0042026704,-7.328672e-05,0.00023069508,0.0030338075,0.0005152969,-0.0032803535,-0.0011221798,0.00056171964,-0.0022983036,-0.0009919095,-0.0004524293,0.0037533776,-0.0037550095,0.0010214855,0.0004267105,0.0051589883,-0.00020693344,0.0018710733,-0.0063462495,0.0014878542,-0.0032900546,-0.00093845965,-0.00029721725,0.00261501,-0.0006420865,0.004722516,-0.0017619493,-0.00045244745,0.00024999064,0.0018573159,-0.0032357245,-0.003918237,-0.0030334077,-0.003568483,0.0031056674,0.00017412701,-0.0022574104,0.0023699112,0.0022733447,-0.0013602262,0.0035898462,0.002166052,-0.0010801132,-0.00024102833,-0.00026002704,0.002134369,-0.0007040846,-0.0047162827,-0.005670785,-0.001696856,0.0033266842,-0.0005479328,-0.0012671187,0.0018831065,0.0041036624,-0.0025672552,-0.0033825475,0.006154926,-0.0045317956,-0.0032907613,-0.0013830654,0.0033954892,0.0010690328
40BA052,-0.004314555,-0.00078304793,-0.0023685666,0.00068060163,-6.4814274e-05,-0.0015991818,0.0018093474,0.0035098114,-0.0039793635,-0.002297052,-0.0008685223,-0.0015172836,-0.004663865,0.0020316099,-0.002458325,0.00046350248,0.0022008265,0.00080651,0.0014493557,-0.0046614786,-0.0007397238,-0.0023291525,0.00577413,0.0011915376,0.0012664691,-0.00034583412,-0.0021633694,0.00088768604,-0.0021847296,0.0014425837,0.007564868,0.00043664113,-3.4369506e-05,-0.0022294067,-0.00045856778,0.0026521727,0.0010090179,0.002025344,0.0018963236,0.0005429207,0.006191355,-0.0041961665,-0.0042152526,-0.0010838447,0.0010952029,0.0020108824,-0.00048470712,0.00042006024,0.0011279613,-0.00033404585,0.0034182444,-0.0028762266,0.0015211463,0.0037123144,-0.0032873154,-0.0027075764,0.00062076875,-0.004236884,-0.0022284559,-0.0031376616,0.0003379838,-8.775135e-05,0.004656768,-0.0025201146,-0.00095079653,0.0017524168,0.0015559347,-0.0017333708,-0.0021180357,-0.00044256225,-0.0013050416,0.0031303042,0.0007458726,0.0021692335,0.0020360502,-0.0011434865,-0.0023445548,0.0024602276,0.0033739829,-0.0003625894,-8.175122e-05,-0.0038558985,0.00094914064,-0.0016488932,-0.0013823295,-0.006176611,0.0010112571,-0.00044562994,-0.0016712487,-0.00024791987,0.00038059038,0.0023998122,-4.4730772e-05,-0.0015943393,0.0038558901,-0.0013648617,0.0018433451,-0.0012825723,0.00041436165,0.0020313489
40BA062,-0.0017428778,0.0023660096,-0.0005792223,-0.0026396683,0.0020200154,-0.000965616,0.003787245,0.0033570156,-0.0014681441,-0.0034064788,0.00064464554,-0.0028304476,-0.0057364292,1.1821464e-05,-0.0029754401,0.0002316744,0.003246275,0.00213844,0.0009448291,-0.0040356396,0.0006904207,-0.002033909,0.0067846784,0.0008897854,-0.0017801989,0.0014361001,-0.00033358607,-0.0014789039,-0.0001901066,0.0015790025,0.004036618,-0.00086496025,-0.00087457395,-0.005416954,0.00012660678,-9.492887e-05,0.0024540182,0.00266015,0.0014995638,0.0011158865,0.0068840897,-0.0055810744,-0.0022477708,0.0005851183,0.0022055518,0.0029644114,-0.00079068757,-0.001219682,0.00046822926,-0.0010396386,0.0035674938,-0.0034793303,0.0027198922,0.00040328587,-0.0046688835,-0.0025397944,0.0033436953,-0.00274445,-0.0031728626,-0.0021354319,-0.00063929136,-0.0029061413,0.0034034546,-0.0008966018,0.0008627465,0.0038959794,0.0021280798,-0.00047062786,-0.0023450973,-0.00022640936,-0.002907162,0.00044405553,0.0028613477,0.0038825073,0.0013503961,-0.001367186,-0.0009726031,0.0033793803,0.002313634,6.2223526e-06,-0.002272639,-0.0029801666,0.0018892733,-0.004889452,-0.00066849304,-0.004517021,0.004083029,0.00030880663,-0.003557813,-0.002787327,0.0035924725,0.001065444,0.00018688376,-0.0018276994,0.0022874542,-0.0011195148,0.0036462662,-0.0008101842,-0.0026834928,0.003212265
40BA022,-0.00012884103,0.0041458933,-0.0020132314,-0.0041392646,0.00057423033,-0.0030032068,0.004091797,0.0045207613,-0.001339483,-0.0041187257,-0.002108322,-0.0024486664,-0.0038920075,-0.003973112,-0.00019152947,-0.0010984107,-0.0020058274,0.0007057247,0.003786852,-0.0005436023,0.002647049,-0.0023817855,0.0035598744,0.0010736618,-0.0066348575,0.0040528635,-0.0011931183,-0.0035304339,-0.0010595989,0.0024625524,0.00112873,-0.0024460002,-0.0014924294,-0.0039528445,0.0016236715,-0.0018613695,0.0014548011,0.0048374766,-0.00047004642,0.0008036608,0.003726542,-0.0008696107,-0.0013128717,0.00054678303,0.0016720684,-0.0013447746,-0.00129789,-0.0020921715,0.0030936457,-0.004460602,0.0011707351,-0.00017639305,0.0063577346,-0.0035159618,0.0004895051,-0.0061784675,0.004210781,-0.0017976206,-0.0018828664,0.00070501247,0.0016377348,-0.0034604766,0.0034692027,-0.00013843633,0.0013610956,0.002393553,0.0024294609,-0.0019729815,-0.0041452986,-0.0028172552,-0.0051706037,0.00041941917,0.002289602,-0.0005441365,0.0016842572,0.0020496454,1.1725491e-05,0.004508999,0.0011057036,-0.0007113015,-0.002431916,0.0006157049,0.0030745016,-0.003944644,-0.0040024463,-0.0040111956,0.0013749159,0.004081121,-0.002434497,-0.0038065258,0.0050949887,0.002769294,-0.0023356404,-0.0036159076,0.0045864903,-0.0042864485,-0.0014878408,-0.0009106773,0.0002976348,0.0022499491
40BD012,-0.0038860093,0.007993817,0.0035493737,0.0011279325,0.0071964096,-0.0015717605,0.009426611,-0.00069532066,-0.0054353657,-0.00026347348,-0.00035763427,-0.0059404774,0.009539528,-0.0030707335,0.00866623,-0.0044121374,-0.002101336,-0.0016138658,7.249019e-05,-0.0060470067,0.004243228,0.0021888283,0.0016805371,-0.0061433623,5.484023e-05,-0.00057306094,-0.0028464065,-0.008357,0.0008491671,-0.0043530944,0.002345751,-0.0010437706,-0.0010271766,0.0032798992,0.0024824177,0.0065797134,-0.00580068,0.0072804354,0.004624136,-0.0064616874,0.0030832654,-0.0028147441,0.0035632658,0.0020883968,0.00013316714,-0.0034196114,-0.001796687,0.0003950895,-0.0013191616,-0.0011151896,0.0036927338,0.005115107,0.0043498017,-0.0043886537,0.006975606,-0.0013806543,0.003503868,0.0016207543,0.002658244,-0.0015697323,-0.006077394,-0.005126429,0.00093649514,0.000161868,-0.0014700701,0.00019604358,-0.0015775173,0.0045826873,-0.000735261,-0.0024179851,-0.0035029429,-0.0031097936,0.004870577,0.008449658,-3.5729958e-05,0.00018748338,0.00058742636,-0.00067017763,-0.001332398,0.0032945285,-0.0029078675,0.0010147071,0.0059251827,-0.0004892585,0.0071542086,0.003279284,0.0052190647,-0.0022593867,0.0038798354,0.002759308,0.0020456696,0.002377768,0.004736884,-0.002583711,0.008395147,0.0077974675,0.00014479202,0.0025947809,0.0047753593,-0.006293618
40BA082,-0.005225171,0.00051376905,-0.0039608427,0.0033779405,-0.00548837,-0.00085429073,-0.003206918,0.0021777898,-5.1836792e-05,-0.00071859494,-0.0011594594,0.0036871172,-0.0023730916,-0.0020659552,0.0028332125,0.0012712266,0.004296699,-0.0011234834,-0.002359199,-0.0071666627,0.0022176995,0.0008111654,0.0017355587,-0.0007728576,0.002866083,0.00038583716,-0.0030231148,-0.0035815395,-0.0030942156,-0.00066047657,0.0014504966,0.0030269325,0.0043998943,-0.001308841,-0.0009440232,0.00092453044,-0.0009789333,0.001305902,0.0011266952,-0.0002294338,-0.005410781,-9.569662e-05,0.00030926274,0.00038760738,-0.00061289803,0.00040990068,-0.0065392703,0.0010563614,0.0013893129,-0.0003863345,-0.005005037,0.0017318848,-0.004136476,0.003168604,0.005526049,-0.00072976947,0.0033539503,-0.0055678543,-0.0009666037,0.0035525,0.0031723047,0.0024286467,0.0018055277,-0.0018950338,0.002738662,-0.0025053045,0.00020031894,0.0024962032,-0.0010359812,-0.0016803388,-0.0008606667,0.0045134583,-0.0029637206,-0.0026530249,0.0032854353,0.0025212755,0.0012410973,0.00033247937,-0.0012586776,-0.0070101446,0.0030366888,0.0008663182,0.0024843607,0.004317034,3.236734e-06,0.005286845,0.004136832,0.003840138,0.0010946846,-0.0017194574,0.0005799721,0.005743249,0.0030846496,0.0014060783,2.1367488e-05,0.0031991296,-0.00076859904,-0.0054825437,0.0008096017,0.008485158
40BQ031,0.0017274534,-0.004600523,-0.0026669328,0.0027262913,-0.0015515153,-0.0019228064,0.0046225656,0.007506943,-0.0014961157,0.0017072103,-0.0051094713,0.002203866,0.0005635172,-0.00091585517,-0.0013027325,-0.0025665394,0.0010270643,0.0016805906,0.0011580925,0.0031740796,0.0059922854,-0.0055273925,0.0012085164,0.0006282592,0.0023016764,-0.00309137,0.0030299684,0.0006815984,0.0033289548,-0.0010435572,-0.0016215922,-0.00084172125,-0.0005576807,0.0015629063,0.005400544,-0.0031202834,-0.0028925904,-0.0010166446,0.003795091,0.0016160259,0.0012993584,0.0019389712,0.00025390787,0.0024745876,-0.00024997405,0.0030331777,-0.00022092306,-0.0028641755,0.00784041,-0.0030443817,0.0043592337,-0.007824139,-0.0042887116,0.0006508772,0.0008807983,0.0023524654,-0.004042169,-0.00052972644,0.00155658,0.00299335,-0.0013076247,0.004258647,-0.000787215,0.00095292553,-0.0023375219,0.0031749245,-0.0021863861,0.0052688275,-0.0015301066,0.0029030668,0.0041827736,-0.00056720624,0.0019871802,-0.003301095,0.0074786725,-0.0042014397,-0.0011745789,-0.0018111853,-0.008588105,0.00039615468,-0.0077838153,-0.0004233236,-0.0032318078,0.0009661722,5.159527e-07,-0.00012641978,-0.0021025117,0.0021069534,0.0020878136,-0.0015112492,0.003141256,-0.0016064573,0.0044008237,0.0059680617,0.0033047525,-0.0016771803,0.00055876136,-0.0005249045,-0.00064270064,0.0021890586
40IN051,0.00093925814,-0.0042326855,-0.0024280562,-0.00058491033,-0.0031699564,0.00055802264,0.0013462948,-0.0030262542,0.004434413,0.002217741,-0.00088776264,-0.004656409,-3.19283e-05,0.008523901,-0.0071116043,0.0022236912,0.0021015415,0.0011994045,0.00044582004,-0.0002474906,0.00466936,-0.0016716514,0.0005917023,0.00200239,0.0013938353,0.0007323064,0.0029230588,-0.00025032065,-0.0021776147,0.00065853907,0.007020092,0.000978045,0.004831904,-0.002820809,-0.0036371613,0.0033111789,0.0037834202,-0.00071247166,-0.006563517,-0.0042642015,-0.0050446526,-0.0023232829,-0.0051567666,0.00074094115,0.003554598,0.005434994,-0.00017083494,-0.0043141977,0.0007008332,-8.0092344e-05,-5.9490558e-05,-0.00021601784,0.0018143875,0.002752281,0.00035116356,-9.973656e-05,-0.003243718,-0.003275523,-0.005170867,0.004120647,0.0064262277,-0.00080017146,-0.00037397735,0.0028748899,-0.0035364176,0.0019717528,-0.0065275733,-0.002357808,0.005342605,-0.0010365621,0.0003394493,-0.0007535735,0.003255019,0.0008027144,0.00046259305,-0.0005718459,-0.0027733077,-0.0031034676,-5.2380725e-05,-0.0019557355,-0.0005331434,0.00028900173,-0.0014242027,0.0012673623,-0.002777391,-0.002160045,-0.0015187894,-0.0020190745,-0.001516072,-0.0040403735,0.0049818596,0.0024375059,0.0020163911,0.0015529814,-0.002195638,-0.00059342803,-0.0021943843,-0.0035665662,0.0023943838,0.0020178673
40BC011,0.0029952617,-0.001999618,0.0012698038,-0.0009521231,0.0003447088,0.0032668735,0.0031087934,0.003995039,-0.0022849182,-0.0006416792,-0.0029988524,-0.00026167464,-0.004879707,0.0024221414,-0.0043562227,0.0066551715,-0.0028138056,0.0008806585,-0.0049590603,-0.0037510912,0.0048759705,0.0021386018,-0.0027162652,1.3657846e-05,-0.00025816818,0.0024929552,0.007093126,-0.009698156,-0.0021623464,0.0025319417,-0.0012153651,-0.005943955,-0.001165345,-0.0011073248,0.0023843276,0.007229749,0.0043800073,-0.00643413,-0.009099286,-0.0059852195,-0.0033350482,-0.00698922,-0.0030008552,0.0020815209,0.003114114,-0.0010183433,-0.008131776,-0.006309298,0.0009705834,-0.0019091978,-0.0010346203,-0.0070027886,0.0028045855,0.004368158,0.0042493255,0.0040970272,-0.0060199085,-0.00079771737,-0.0044406494,-0.0048003197,0.006093407,0.0034966664,0.0041972795,0.0024664393,0.000808078,0.00019740767,-0.004924178,0.006141331,0.0010339322,0.0028958237,0.0067186505,0.0013439085,-0.0034726097,8.353381e-06,-0.0010065497,-0.0026368252,-0.0004913509,0.0013458931,0.00228625,-0.0032785826,0.002040463,-0.003449473,-0.008233601,-0.0010341515,-0.0021612,0.0033294943,1.7841812e-05,-0.0047871377,0.0020451262,-0.005277532,-0.00014751893,-0.0017861584,0.0022820774,0.0039413525,-0.0064764707,0.0064123226,-0.0003986135,-0.004156041,-0.00231119,-0.002548971
