Method,Epochs_Setting,MAE,RMSE,Failed_Predictions (NaN)
Matrix_Factorization,10,1.012727047025467,1.2165897799376186,9
Matrix_Factorization,20,0.8113155094747443,1.0321709146844933,9
Matrix_Factorization,50,0.803755540053488,1.029857744453,9
Matrix_Factorization,100,0.8051255150388369,1.0287783101201233,9
