model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,Precision@5_mean,Precision@5_std,Recall@5_mean,Recall@5_std,NDCG@5_mean,NDCG@5_std,HitRate@5_mean,HitRate@5_std,Precision@10_mean,Precision@10_std,Recall@10_mean,Recall@10_std,NDCG@10_mean,NDCG@10_std,HitRate@10_mean,HitRate@10_std
MF,0.8243173848598081,0.026294441909852268,1.0141672371253823,0.02727991310204318,0.06911634819637849,0.005124942611473283,0.2816038629761125,0.024684624801554967,0.21583947922493674,0.01810772569431172,0.3254065345117615,0.029284561260068447,0.04606862149592608,0.0029848098495860215,0.3671257287927399,0.02311178763129506,0.24573532322689653,0.018834592954382175,0.4115936816873555,0.026731292907367428
LightGCN_RMSE,0.8654232966366054,0.015606674450405903,1.1793934359654021,0.01939092675328638,0.13307564569304245,0.0026788242160698302,0.6098278565405961,0.024941079627618497,0.446610069087556,0.031076388728507036,0.6462804061928338,0.01875785954636422,0.08344386529508238,0.0032186865028057854,0.7319133722412923,0.0382336632069527,0.48918625335076465,0.028769633975764788,0.7795790814263295,0.03956705591311011
LightGCN_Ranking,1.0444105231277419,0.02013196793586298,1.3718051761205774,0.025063460857069227,0.17327089426797024,0.014721774440444101,0.7603658935596553,0.07249095544935814,0.6026252704796928,0.05385475168951704,0.8029594521873824,0.07318938754980997,0.10456667663361954,0.002152266315247355,0.8936690417671398,0.012277464251876268,0.6493580644101125,0.037145053107904794,0.9264009891009625,0.01410269170539685
Vanilla_GCN,1.5954857150674198,0.06281562254308766,1.953870947688263,0.07998955429993283,0.09452545152599798,0.014609556366063975,0.44192518449031815,0.06256473161436454,0.2657632471628918,0.07674962872939206,0.4703833858512344,0.07068507484577295,0.06186370190558384,0.005832504819247812,0.56168438248129,0.045978222962104104,0.30513027434337836,0.07403142889201432,0.6096463976145536,0.05368924945845509
