Method,Best_c,MAE,RMSE,NDCG
RWR_Binary,0.1,2.0151518231119407,2.3907991295469855,0.8436107188977529
RWR_Linear,0.1,2.0081518341369193,2.379012073196181,0.8603150554755536
RWR_Softmax(T=0.3),0.7,1.7897299613431727,2.180323574616689,0.8884880888684876
