Student_ID,Course_ID,Actual,Predicted,Error
40311122,40BA121,2,3.0053,1.0053
40411141,40BA101,1,2.903,1.903
40511209,40B0292,4,2.903,1.097
40311261,40B8932,4,4.1269,0.1269
40211117,40UN110,4,2.903,1.097
40311201,40BA122,5,3.4062,1.5938
40211246,40BA062,5,2.927,2.073
40311114,40BQ341,5,2.903,2.097
40311224,40BA022,1,2.903,1.903
40311229,40BA132,5,4.7047,0.2953
40311112,40BQ341,5,4.6004,0.3996
40211105,40BQ171,1,3.3236,2.3236
40311221,40BA062,1,2.386,1.386
40211248,40BR342,3,3.3955,0.3955
40211246,40BA082,3,3.0982,0.0982
40211105,40BA121,3,3.6997,0.6997
40411227,40BA052,4,2.903,1.097
40211262,40BD012,4,2.903,1.097
40411115,40BA021,2,2.903,0.903
40311121,40BA021,3,2.9484,0.0516
40411207,40B0292,4,2.903,1.097
40411140,40BQ311,2,2.903,0.903
40311264,4069582,2,2.903,0.903
40311119,40BA131,2,3.2909,1.2909
40411210,40BA062,3,2.903,0.097
40411202,40BA082,3,2.903,0.097
40411164,40BA101,2,2.903,0.903
40211229,40BR122,5,4.5676,0.4324
40511217,40B0292,4,4.6132,0.6132
40211259,40BA122,2,3.1406,1.1406
40211255,40BD032,3,2.903,0.097
40211142,40BA061,4,2.903,1.097
40211249,40BR042,2,2.9983,0.9983
40311148,40BC071,3,2.903,0.097
40311232,40BQ512,3,2.903,0.097
40211161,40B9651,3,2.903,0.097
40211209,40BA082,2,3.2678,1.2678
40311209,40B0292,1,2.903,1.903
40311259,40BA052,5,2.903,2.097
40411237,40BD012,3,2.903,0.097
40411219,40BA052,3,2.903,0.097
40211213,40BA132,1,2.6032,1.6032
40311250,40BD012,5,3.7373,1.2627
40311137,40BQ331,3,2.8101,0.1899
40511206,40BA052,4,2.9034,1.0966
40511229,40B0292,4,3.6689,0.3311
40311229,40BR072,4,3.7905,0.2095
40211234,40BA102,4,3.7103,0.2897
40211238,40BD012,1,2.9847,1.9847
40311211,40B0292,3,3.0053,0.0053
40311238,40BQ512,4,3.5956,0.4044
40411243,40BA012,1,2.903,1.903
40311129,40BQ321,2,3.716,1.716
40211150,40BA051,3,2.4682,0.5318
40411236,40BR022,4,2.903,1.097
40211117,40BA091,1,2.903,1.903
40411231,40BA012,1,2.903,1.903
40311205,40BR372,5,2.903,2.097
40211217,40BA052,4,2.7849,1.2151
40211146,40BA141,3,3.0053,0.0053
40411138,40BC011,1,2.903,1.903
40211156,40BR372,3,3.9363,0.9363
40411208,40BA052,3,2.903,0.097
40205303,40BR072,3,4.2863,1.2863
40411220,40BA062,2,2.903,0.903
40411213,40BD012,4,2.903,1.097
40211267,40BD052,1,2.903,1.903
40211129,40BA141,4,2.8311,1.1689
40211126,433N062,5,5.0,0.0
40211102,409U053,5,3.5095,1.4905
40211134,40BA061,4,4.7037,0.7037
40311134,40BQ321,3,3.265,0.265
40211203,40BA022,3,3.4163,0.4163
40211147,40BC051,1,2.903,1.903
40311217,40BD012,4,3.5122,0.4878
40211233,40BA152,2,3.3573,1.3573
40211137,40BQ391,2,3.7557,1.7557
40411106,40BA051,3,2.903,0.097
40311158,40UN130,5,5.0,0.0
40211116,40BQ021,4,3.2003,0.7997
40311202,40BA082,4,4.2059,0.2059
40211154,40BQ391,3,3.8082,0.8082
40311110,40B0291,3,2.903,0.097
40411150,40BC071,2,2.903,0.903
40211117,40BA131,4,2.903,1.097
40311229,40BD012,4,3.711,0.289
40211102,40BA081,4,3.4226,0.5774
40211115,40BQ021,2,2.903,0.903
40211215,40BA052,1,2.903,1.903
