number_of_layers,MAE,RMSE,Precision@5,Precision@10,Recall@5,Recall@10,NDCG@5,NDCG@10,HitRate@5,HitRate@10,training_loss,runtime_seconds
1,0.8665169155597687,1.1713332523289168,0.1376470588235294,0.0905882352941176,0.6029411764705882,0.7617647058823529,0.4618026042239647,0.5159817901674857,0.6411764705882353,0.8117647058823529,0.6691745519638062,1.058608738705516
2,0.8988845493396124,1.1804687410781385,0.1752941176470588,0.1041176470588235,0.7598039215686274,0.8647058823529412,0.5920956252708999,0.6297919669012917,0.8058823529411765,0.9,0.9175111651420592,1.1128317341208458
3,0.9902225178480148,1.2898212218478933,0.1976470588235294,0.1076470588235294,0.8333333333333333,0.8892156862745098,0.6483511935413188,0.6683044457852748,0.8764705882352941,0.9117647058823528,1.138292908668518,1.2561477404087782
