Method,Epochs_Setting,MAE,RMSE,NDCG,Failed_Predictions (NaN)
Matrix_Factorization,10,1.0040571246433836,1.2047509137959351,0.9047131309949947,9
Matrix_Factorization,20,0.7864902826283955,1.0125368835766708,0.9053965173179024,9
Matrix_Factorization,50,0.8009233637797655,1.0313705556804404,0.9070868379324276,9
Matrix_Factorization,100,0.8019174727956958,1.0256707115634864,0.9115007804915183,9
