"5","白羊座"
"6","金牛座"
"7","雙子座"
"8","巨蟹座"
"9","獅子座"
"10","處女座"
"11","天秤座"
"12","天蠍座"
"13","射手座"
"14","摩羯座"
"15","水瓶座"
"16","雙魚座"
